short_name;value_eur;wage_eur;player_positions;club;id
Leonardo;  5000000; 21000;LM, RM;Tianjin Quanjian FC; 2022
R. Gikiewicz;  4300000; 26000;GK;1. FC Union Berlin; 2023
Y. Nagatomo;  4100000; 48000;LB, RB;Galatasaray SK; 2024
Borja García;  6500000; 11000;LM, CF, CM;Girona FC; 2025
C. Dawson;  5500000; 51000;CB;Watford; 2026
Tiago Pinto;  4800000; 19000;LB;MKE Ankaragücü; 2027
M. Ninković;  3400000; 10000;CAM, LM;Sydney FC; 2028
Javi López;  3000000; 23000;RB, RWB;RCD Espanyol; 2029
C. Austin;  6500000; 45000;ST;West Bromwich Albion; 2030
J. Fuenzalida;  3400000; 14000;RW, RM, RB;Universidad Católica; 2031
J. Ayew;  7000000; 50000;ST;Crystal Palace; 2032
Ximo Navarro;  5500000; 21000;CB, RB;Deportivo Alavés; 2033
Caio;  7000000;  1000;ST, RW, RM;Al Ain FC; 2034
F. Jara;  6500000; 23000;ST;Pachuca; 2035
M. Waris;  7000000; 13000;RM, ST;FC Porto; 2036
O. Murillo;  4900000; 19000;CB;Pachuca; 2037
D. Drexler;  6500000; 26000;CAM, CM, LM;1. FC Köln; 2038
N. Mendy;  6000000; 57000;CDM, CM;Leicester City; 2039
D. D'Ambrosio;  5500000; 45000;RB, LB;Inter; 2040
M. Lowton;  5500000; 29000;RB;Burnley; 2041
D. Royer;  6500000;  9000;LM, LW, RM;New York Red Bulls; 2042
E. Çolak;  6500000; 25000;CAM, RM;Al Wehda; 2043
N. Blandi;  6500000; 22000;ST;San Lorenzo de Almagro; 2044
Guilherme;  6500000; 15000;RM, CAM;Yeni Malatyaspor; 2045
L. Rupp;  6500000; 32000;CM, RM;TSG 1899 Hoffenheim; 2046
J. Hendrick;  7000000; 32000;RM, CAM, CM;Burnley; 2047
N. Chadli;  6500000; 22000;LW, RW, CAM;RSC Anderlecht; 2048
Y. Konoplyanka;  6500000; 29000;LM, LW, ST;FC Schalke 04; 2049
L. Teodorczyk;  7000000; 19000;ST;Udinese; 2050
F. Santander;  7000000; 33000;ST;Bologna; 2051
V. Eysseric;  7000000; 47000;LW, RW;Fiorentina; 2052
Recio;  6500000; 28000;CM;CD Leganés; 2053
J. Schmid;  5500000; 22000;RB, RM, RWB;SC Freiburg; 2054
J. Kurtić;  6000000; 15000;CM, CAM;SPAL; 2055
D. Nagbe;  6500000;  9000;CM, CDM;Atlanta United; 2056
T. Chandler;  5500000; 29000;RB, RWB, RM;Eintracht Frankfurt; 2057
A. Diaby;  6500000; 14000;RW, LW;Sporting CP; 2058
Fabrício;  6500000; 15000;ST, CF;Urawa Red Diamonds; 2059
F. Castillo;  7000000; 12000;LM, RM;Querétaro; 2060
D. Chará;  3200000;  8000;CDM, CM;Portland Timbers; 2061
V. Germain;  6500000; 35000;ST;Olympique de Marseille; 2062
A. Donnarumma;  7000000; 16000;ST;Brescia; 2063
F. Gutiérrez;  6500000;  9000;CM;Sporting Kansas City; 2064
Eric Botteghin;  4900000; 13000;CB;Feyenoord; 2065
A. Katai;  6500000;  9000;LM, RM;Chicago Fire; 2066
H. Soudani;  6000000;  1000;ST, LM, CAM;Olympiacos CFP; 2067
F. Novák;  5500000; 27000;LB, CB;Trabzonspor; 2068
Luís Hernández;  5500000; 10000;CB;Málaga CF; 2069
L. Aued;  5000000; 13000;CM, CDM;Universidad Católica; 2070
Lucas Lima;  6000000; 22000;LB, LM;FC Nantes; 2071
L. Fernández;  7000000; 17000;ST, RM, LM;Vélez Sarsfield; 2072
Óscar Plano;  6500000; 20000;RM, LM, CF;Real Valladolid CF; 2073
J. Vázquez;  5000000; 19000;CDM, CM;Santos Laguna; 2074
J. Fernandes;  6500000; 15000;LM, RM, ST;Alanyaspor; 2075
D. Machís;  7000000; 20000;LM, ST, CAM;Granada CF; 2076
L. Zuffi;  6500000; 26000;CAM, CDM, CM;FC Basel 1893; 2077
M. Schnatterer;  4000000; 15000;RM, LM, CAM;1. FC Heidenheim 1846; 2078
R. Berić;  7000000; 32000;ST;AS Saint-Étienne; 2079
A. Solari;  7000000; 20000;RM, LM;Racing Club; 2080
A. Hurtado;  5500000; 40000;ST, LW, RW;Monterrey; 2081
L. Vangioni;  4100000; 34000;LB;Monterrey; 2082
S. Palacios;  7000000; 20000;RM, ST, LM;Independiente; 2083
Hernâni;  7000000; 22000;RM, RW;Levante UD; 2084
D. Torres;  5500000; 21000;CDM, CM;Deportivo Alavés; 2085
L. Quiñones;  6500000; 60000;LM, RM;Tigres U.A.N.L.; 2086
Postigo;  5500000; 20000;CB;Levante UD; 2087
E. Mas;  5500000; 20000;LB;Boca Juniors; 2088
B. Bianchi;  5500000; 13000;CB;Atlético Tucumán; 2089
J. Furch;  6500000; 23000;ST;Santos Laguna; 2090
J. Buffarini;  5500000; 20000;RB;Boca Juniors; 2091
G. Carrillo;  7000000; 52000;ST;Southampton; 2092
Y. Gazinskiy;        0;     0;CDM, CM;Russia; 2093
Y. Lodygin;  4700000; 12000;GK;Gazişehir Gaziantep F.K.; 2094
A. Ademi;  6000000;  1000;CDM, CM;Dinamo Zagreb; 2095
Zainadine;  4900000; 10000;CB;Clube Sport Marítimo; 2096
K. Billiat;  6500000;  1000;RW, ST;Kaizer Chiefs; 2097
O. Şahiner;  7000000; 18000;RM, LM, LB;Atiker Konyaspor; 2098
Granell;  6000000; 11000;CM, LWB;Girona FC; 2099
André Simões;  5500000;  1000;CDM, CM;AEK Athens; 2100
G. Giménez;  7000000; 15000;CM, CDM, CB;Vélez Sarsfield; 2101
Simão Donatinho;  1800000; 13000;GK;Cruzeiro; 2102
Silas Almeim;  6000000; 13000;LB, LM;Goiás; 2103
Caio Nunson;  4900000; 13000;CB, LB;Goiás; 2104
Otávio Cairinho;  6000000; 23000;CB, RB;Internacional; 2105
Jorginhson;  6000000; 13000;CDM, CM, CAM;Goiás; 2106
Dani Rochelinhas;  7000000; 17000;CAM, CM;Chapecoense; 2107
Kaíquão Castro;  1800000; 13000;GK;Fluminense; 2108
Lafortiscinho;  6000000; 20000;LB;Botafogo; 2109
Kaimo Lima;  2000000; 17000;CB, CDM, LB;Fluminense; 2110
Fabrio Farinha;  7000000; 31000;CAM, LM;Atlético Mineiro; 2111
Gabrisco Aníbal;  6000000; 13000;CDM, CM;Fortaleza; 2112
Allan Bardinho;  7000000; 22000;CAM, CM;Botafogo; 2113
José Mirazar;  2900000; 22000;LW, CAM;Grêmio; 2114
Ailton Guevara;  7000000; 14000;CAM, CF, ST;CSA - AL; 2115
Adilson Edrada;  7000000; 33000;CAM;Santos; 2116
Nicholas Aldair;  7000000; 29000;ST;Fluminense; 2117
F. Niță;  4300000;  1000;GK;Sparta Praha; 2118
L. Tawamba;  6500000; 27000;ST;Al Taawoun; 2119
P. Dárenas;        0;     0;GK;Uruguay; 2120
P. Vaquizo;        0;     0;RW, RM;Ecuador; 2121
D. Szoboszlai; 11500000; 11000;CAM, RM, CM;FC Red Bull Salzburg; 2122
N. Zaniolo; 12000000; 18000;CAM, CM, RW;Roma; 2123
C. Hudson-Odoi; 11500000; 31000;RW, LW;Chelsea; 2124
J. David; 10500000; 12000;CF, ST, CAM;KAA Gent; 2125
G. Chakvetadze; 10000000; 11000;LM, CAM;KAA Gent; 2126
I. Hagi;  9500000; 11000;CAM, LW, RW;KRC Genk; 2127
Aleix García;  9500000; 70000;CM;Manchester City; 2128
N. Benedetti;  9500000; 37000;CAM, RM;Club América; 2129
D. Sow;  9500000; 24000;CM;Eintracht Frankfurt; 2130
V. Osimhen; 10000000; 25000;ST;LOSC Lille; 2131
H. Wolf;  9500000; 28000;CAM;RB Leipzig; 2132
J. Foyth;  9000000; 40000;CB, RB;Tottenham Hotspur; 2133
M. Demiral;  9000000; 45000;CB;Juventus; 2134
O. Kabak;  8500000; 12000;CB;FC Schalke 04; 2135
Matheus Cunha; 10000000; 32000;ST, CAM;RB Leipzig; 2136
Z. Vanheusden;  8500000;  7000;CB;Standard de Liège; 2137
M. Diaby;  9500000; 25000;LM;Bayer 04 Leverkusen; 2138
D. McNeil;  9500000; 17000;LM;Burnley; 2139
I. Bennacer;  9000000; 23000;CM, CDM;Milan; 2140
J. Reine-Adélaïde;  9000000; 36000;CAM, RM;Olympique Lyonnais; 2141
R. Doan;  9000000;  8000;CAM, RM;FC Groningen; 2142
O. Edouard;  9000000; 35000;ST;Celtic; 2143
L. Robertone;  9000000; 12000;CAM, CM;Vélez Sarsfield; 2144
E. Barco;  9000000;  6000;LM, CAM, ST;Atlanta United; 2145
Douglas Luiz;  9000000; 33000;CM, CDM;Aston Villa; 2146
Rodrigo Becão;  8500000; 12000;CB;Udinese; 2147
Adrià Pedrosa;  8000000; 15000;LB;RCD Espanyol; 2148
A. Král;  8500000;  1000;CDM, CB, CM;SK Slavia Praha; 2149
E. Cecchini;  8000000;  6000;CDM, CM;Seattle Sounders FC; 2150
J. Barrera;  8500000;  5000;CAM, RM;Atlético Nacional; 2151
P. Diop;  8500000; 15000;CM, CDM;RC Celta; 2152
H. Choudhury;  8000000; 38000;CDM, CM;Leicester City; 2153
João Carvalho;  8500000; 32000;CAM, LM;Nottingham Forest; 2154
A. Ömür;  8500000; 19000;RM, LM, CAM;Trabzonspor; 2155
A. Isak;  8500000; 15000;ST;Real Sociedad; 2156
O. Mangala;  8500000; 18000;CM, CDM;VfB Stuttgart; 2157
E. Reynoso;  8500000; 17000;CM, CAM, LM;Boca Juniors; 2158
R. Alvarado;  8500000; 17000;LM, RM, CAM;Cruz Azul; 2159
M. Djenepo;  8500000; 32000;LM, RM, CAM;Southampton; 2160
L. Mothiba;  9000000; 23000;ST;RC Strasbourg Alsace; 2161
Bruno Xadas;  8500000; 10000;CAM, RW;SC Braga; 2162
M. Olivera;  8000000; 13000;LB, LM;Getafe CF; 2163
V. Shepelev;  8000000;  1000;CDM, CM, CAM;Dynamo Kyiv; 2164
M. Loum;  8000000;  9000;CDM, CM;FC Porto; 2165
Iago;  8000000; 17000;LB;FC Augsburg; 2166
Róber;  7500000;  7000;CB, CDM;Deportivo de La Coruña; 2167
Adama Traoré;  8500000; 56000;RW, RWB;Wolverhampton Wanderers; 2168
P. Billing;  8000000; 43000;CM, CDM;Bournemouth; 2169
Pablo Maffeo;  7500000;  6000;RWB, RM, RB;Girona FC; 2170
P. Roberts;  8500000; 34000;RM, ST;Norwich City; 2171
A. Ajeti;  8500000; 56000;ST;West Ham United; 2172
K. Ajer;  7500000; 28000;CB;Celtic; 2173
O. Pineda;  8000000; 19000;CM, CAM, CDM;Cruz Azul; 2174
A. Rossi;  6500000; 10000;GK;Club Atlético Lanús; 2175
V. Kovalenko;  8500000;  1000;CAM, CM;Shakhtar Donetsk; 2176
Lato;  7500000; 10000;LB;PSV; 2177
C. Söyüncü;  7500000; 46000;CB;Leicester City; 2178
Joaquín;  7500000; 14000;CB, CDM;Real Valladolid CF; 2179
J. Bijlow;  6500000;  6000;GK;Feyenoord; 2180
S. Villa;  8500000; 17000;RM, RW, LM;Boca Juniors; 2181
Aleix Febas;  8000000; 19000;CM, CDM, CAM;RCD Mallorca; 2182
S. Lammers;  8500000; 15000;ST;PSV; 2183
S. Cáseres;  7500000; 20000;CDM, CM;Villarreal CF; 2184
M. Pongračić;  7500000; 20000;CB;FC Red Bull Salzburg; 2185
Francis;  8500000; 17000;RM, RWB, RB;Real Betis; 2186
C. Musonda;  8000000; 15000;RM, LM;Vitesse; 2187
Lucas Torró;  7000000; 22000;CDM, CM;Eintracht Frankfurt; 2188
L. Giannetti;  7000000; 12000;CB;Vélez Sarsfield; 2189
Marlon;  7000000; 32000;CB;Sassuolo; 2190
Pozo;  8000000;  7000;CAM, ST, LM;Rayo Vallecano; 2191
O. McBurnie;  8000000; 29000;ST;Sheffield United; 2192
A. Cubas;  8000000; 13000;CM, CDM;Club Atlético Talleres; 2193
C. Adams;  8000000; 41000;ST;Southampton; 2194
E. Buendía;  8000000; 34000;RM;Norwich City; 2195
P. Cissé;  7000000;  1000;CB;Olympiacos CFP; 2196
T. Cardona;  7000000;  9000;CB;Godoy Cruz; 2197
M. Degenek;        0;     0;CB, CDM;Australia; 2198
L. Rodríguez;  8000000;  7000;LM, CAM, LWB;DC United; 2199
C. Bassogog;  8000000; 13000;ST, RM, LM;Henan Jianye FC; 2200
Ontiveros;  8000000;  7000;LM, RM, LW;Málaga CF; 2201
C. Awaziem;  7000000; 19000;CB;CD Leganés; 2202
Pedro Rebocho;  7000000; 38000;LB;Beşiktaş JK; 2203
S. Lukić;  7000000; 27000;CDM, CM;Torino; 2204
E. Löwen;  8000000; 20000;CM, CDM, CB;Hertha BSC; 2205
J. Stephens;  7000000; 37000;CB;Southampton; 2206
B. Petković;  8000000;  1000;ST, CAM;Dinamo Zagreb; 2207
A. Browne;  7500000; 22000;CAM, CDM, CM;Preston North End; 2208
V. Cantillo;  7000000;  4000;CDM;Junior FC; 2209
S. Benrahma;  7500000; 35000;LW, RW, RM;Brentford; 2210
O. Watkins;  7500000; 35000;RW, LW, ST;Brentford; 2211
Unai López;  7500000; 17000;CM, LM, CDM;Athletic Club de Bilbao; 2212
Walace;  7000000; 12000;CDM, CM;Udinese; 2213
Pedro Nuno;  7500000; 11000;LW, CAM, CM;Moreirense FC; 2214
H. Diallo;  8000000; 16000;ST;FC Metz; 2215
K. Adams Nuhu;  7000000; 20000;CB;Fortuna Düsseldorf; 2216
K. Walker-Peters;  7000000; 49000;RB, LB;Tottenham Hotspur; 2217
Francisco Geraldes;  7500000;  1000;CAM;AEK Athens; 2218
B. Heynen;  7500000; 13000;CM, CDM;KRC Genk; 2219
J. Aidoo;  7000000; 16000;CB;RC Celta; 2220
Waldo;  7500000; 15000;LM, ST;Real Valladolid CF; 2221
Pol Lirola;  7000000; 26000;RB, RM;Fiorentina; 2222
C. Goldson;  6500000; 39000;CB;Rangers FC; 2223
F. Quignon;  6500000; 15000;CDM, CM;Club Atlético Lanús; 2224
V. Verre;  7500000; 15000;CAM, CM;Hellas Verona; 2225
K. Olsson;        0;     0;CM;Sweden; 2226
D. Kourmpelis;  7000000;  1000;CDM, CB;Panathinaikos FC; 2227
Kévin Rodrigues;  6500000; 20000;LB;Real Sociedad; 2228
I. Kutepov;  6500000;  1000;CB;Spartak Moscow; 2229
R. Durmisi;  6500000; 32000;LB, LWB;Lazio; 2230
J. O'Connell;  6500000; 26000;CB;Sheffield United; 2231
I. Lichnovsky;  6500000; 19000;CB;Cruz Azul; 2232
L. Romero;  7000000; 16000;CDM, CM, RB;Independiente; 2233
J. Silva;  6500000; 22000;LWB, LB;CD Leganés; 2234
A. El Ghazi;  7500000; 43000;LW, RW;Aston Villa; 2235
G. Nkoudou;  7500000; 54000;LM;Tottenham Hotspur; 2236
R. Martínez;  7500000; 44000;ST;Club América; 2237
B. Zungu;  6500000; 16000;CDM, CM;Amiens SC; 2238
J. Alonso;  6500000; 18000;CB, LB;Boca Juniors; 2239
A. Barreca;  6500000; 12000;LB;Genoa; 2240
V. Vada;  7500000; 23000;CM;FC Girondins de Bordeaux; 2241
R. Tapia;  7000000; 10000;CDM, CM;Feyenoord; 2242
A. Masina;  6500000; 43000;LB, LM;Watford; 2243
Caju;  6500000; 10000;LB;SC Braga; 2244
H. Preciado;  7500000; 15000;ST;Shenzhen FC; 2245
J. St. Juste;  7000000; 18000;CB, RB;1. FSV Mainz 05; 2246
A. Touré;  6500000; 22000;RB, CB;Eintracht Frankfurt; 2247
William;  6500000; 28000;RB, LB;VfL Wolfsburg; 2248
Gil Dias;  7500000; 27000;RM, RW;AS Monaco; 2249
R. Krunić;  7500000; 29000;CM;Milan; 2250
P. Ševčík;  7500000;  1000;CM, CAM, LM;SK Slavia Praha; 2251
B. Gibson;  6500000; 27000;CB;Burnley; 2252
Vadillo;  7500000; 16000;RM, LM;Granada CF; 2253
P. Gouano;  6500000; 15000;CB;Amiens SC; 2254
S. Prcić;  7000000; 20000;CM, CDM;Levante UD; 2255
A. Webster;  6500000; 30000;CB;Brighton & Hove Albion; 2256
E. Krafth;  6500000; 26000;RB;Newcastle United; 2257
Dória;  6500000; 15000;CB;Santos Laguna; 2258
A. Baba;  6500000; 56000;LB;Chelsea; 2259
B. Verstraete;  6500000; 20000;CDM, CM;1. FC Köln; 2260
Manquillo;  6500000; 29000;RWB, RB, LWB;Newcastle United; 2261
B. Dack;  7500000; 20000;CAM;Blackburn Rovers; 2262
T. Mings;  6500000; 41000;CB, LB;Aston Villa; 2263
J. Amavi;  6500000; 25000;LB;Olympique de Marseille; 2264
Bruno Varela;  5500000; 10000;GK;Ajax; 2265
F. Hadergjonaj;  6500000; 23000;RB, RWB;Huddersfield Town; 2266
R. Thomas;  7000000; 13000;CM;PSV; 2267
J. Aholou;  6500000; 23000;CDM, CM;AS Saint-Étienne; 2268
A. Hack;  6500000; 20000;CB;1. FSV Mainz 05; 2269
Iván Alejo;  7500000; 17000;RM, LM;Getafe CF; 2270
Pedro Sá;  6500000;  7000;CDM, CM;Portimonense SC; 2271
D. Hovorka;  6500000;  1000;CB;SK Slavia Praha; 2272
M. Trávník;  7000000;  1000;CM, CAM, CDM;Sparta Praha; 2273
Bruno Lamas;  7500000;  6000;CAM, CM;Santa Clara; 2274
T. Kaminski;  5000000; 14000;GK;KAA Gent; 2275
R. Jack;  6000000; 39000;CDM, CM;Rangers FC; 2276
J. Rodríguez;  5000000; 24000;GK;Guadalajara; 2277
J. Ananidze;  7000000;  1000;CAM, LW;Spartak Moscow; 2278
B. Hamid;  5000000;  6000;GK;DC United; 2279
F. Rønnow;  5000000; 21000;GK;Eintracht Frankfurt; 2280
J. Geis;  6500000; 12000;CDM, CB, CM;1. FC Nürnberg; 2281
G. Caprari;  7000000; 30000;CF, ST, CAM;Sampdoria; 2282
Y. Ayoub;  7000000; 12000;CM, CAM;Feyenoord; 2283
D. Arslanagic;  6000000; 11000;CB;Royal Antwerp FC; 2284
J. Egan;  6000000; 27000;CB;Sheffield United; 2285
S. Dioudis;  5000000;  1000;GK;Panathinaikos FC; 2286
Lucas Silva;  6500000; 88000;CDM, CM;Real Madrid; 2287
J. Nsame;  7000000; 22000;ST;BSC Young Boys; 2288
M. Agu;  6500000;  9000;CDM, CM;Vitória Guimarães; 2289
Rubén García;  7000000; 25000;CAM, ST, RM;CA Osasuna; 2290
D. Heuer Fernandes;  5000000; 10000;GK;Hamburger SV; 2291
Iuri Medeiros;  7000000; 13000;RW, RM, CF;1. FC Nürnberg; 2292
C. Njie;        0;     0;ST, LW;Cameroon; 2293
L. Diony;  7000000; 29000;ST, LM;AS Saint-Étienne; 2294
S. van Beek;  6500000; 10000;CB;Feyenoord; 2295
L. Cavallini;  7000000;  9000;ST;Puebla FC; 2296
D. Rolán;  7000000; 10000;ST, LM;Deportivo de La Coruña; 2297
F. Mora;  7000000; 20000;ST;U.N.A.M.; 2298
R. Rey;  5000000; 15000;GK;Pachuca; 2299
Burgui;  7000000; 20000;LM, RM;Deportivo Alavés; 2300
C. Stanković;  5000000; 22000;GK;FC Red Bull Salzburg; 2301
M. Tisserand;  6000000; 32000;CB, LB;VfL Wolfsburg; 2302
Kahraba;  7000000; 11000;LM, RM;CD Aves; 2303
Chema Rodríguez;  6000000; 34000;CB;Nottingham Forest; 2304
K. Lawrence;  6000000;  7000;LB, LWB;New York Red Bulls; 2305
Hélder Costa;  7000000; 48000;RM, RW;Leeds United; 2306
Ivi;  7000000;  8000;LM, RM, ST;SD Huesca; 2307
K. Dolly;  7000000; 27000;CAM, LM;Montpellier HSC; 2308
J. Gallardo;  7000000; 30000;LM, LW, LB;Monterrey; 2309
A. González;  7000000; 16000;RW, RM, LW;Estudiantes de La Plata; 2310
Charles;  5000000;  7000;GK;Clube Sport Marítimo; 2311
G. Cimirot;  6500000; 14000;CDM, CM;Standard de Liège; 2312
A. Bouzat;  7000000; 15000;RW, CAM;Vélez Sarsfield; 2313
A. Bălută;  7000000;  1000;RW, CAM, ST;SK Slavia Praha; 2314
T. Holeš;  6000000;  1000;RB, RM, LM;SK Slavia Praha; 2315
H. Lindner;        0;     0;GK;Austria; 2316
Daniel Ayala;  5500000; 29000;CB;Middlesbrough; 2317
J. Bruma;  6000000; 32000;CB;VfL Wolfsburg; 2318
K. Babacar;  7000000; 44000;ST;Sassuolo; 2319
Jordi Amat;  6000000; 11000;CB, CDM;KAS Eupen; 2320
G. Trauner;  6000000; 10000;CB;LASK Linz; 2321
A. Cornelius;  7000000; 38000;ST;Parma; 2322
E. Dilaver;  5500000;  1000;CB, RB;Dinamo Zagreb; 2323
J. Ralls;  7000000; 24000;CM, CDM;Cardiff City; 2324
Rubén Pardo;  6500000; 23000;CM, CAM, CDM;Real Sociedad; 2325
R. Fredericks;  6000000; 53000;RB;West Ham United; 2326
K. Roofe;  7000000; 19000;ST;RSC Anderlecht; 2327
S. Falette;  6000000; 26000;CB;Eintracht Frankfurt; 2328
L. Vietto;  7000000; 12000;ST, RW;Sporting CP; 2329
F. Helander;  6000000; 39000;CB;Rangers FC; 2330
D. Dessoleil;  6000000; 13000;CB;Sporting de Charleroi; 2331
T. Letschert;  6000000; 12000;CB;Hamburger SV; 2332
J. van Overeem;  7000000; 16000;CM, CDM;FC Utrecht; 2333
João Schmidt;  6500000;  8000;CM, CDM, LB;Nagoya Grampus; 2334
Cho Hyun Woo;  4700000;  5000;GK;Daegu FC; 2335
Diego Rico;  6000000; 45000;LB;Bournemouth; 2336
C. González;  7000000; 21000;ST;U.N.A.M.; 2337
B. Valdez;  6000000; 39000;CB, RB;Club América; 2338
Maurício;  6000000; 11000;CB;Urawa Red Diamonds; 2339
João Victor;  7000000; 37000;LW, LM;VfL Wolfsburg; 2340
D. Saba;  7000000; 14000;CAM, ST;Guangzhou R&F FC; 2341
Oier;  4600000; 16000;GK;Levante UD; 2342
L. Cooper;  5500000; 46000;CB;Leeds United; 2343
F. Đuričić;  6500000; 40000;CAM, LW;Sassuolo; 2344
L. Crisetig;  6500000; 27000;CM, CDM;Bologna; 2345
S. Bell;  5500000; 21000;CB;1. FSV Mainz 05; 2346
T. Sainsbury;  5500000; 14000;CB;PSV; 2347
Diego Mariño;  4600000;  8000;GK;Real Sporting de Gijón; 2348
E. Sviatchenko;  5500000; 19000;CB;FC Midtjylland; 2349
S. Kittel;  6500000; 15000;LW, CAM;Hamburger SV; 2350
G. Shinnie;  6000000; 23000;CDM, LB, CM;Derby County; 2351
J. Schlupp;  6500000; 43000;LM, CM, LB;Crystal Palace; 2352
F. Viviani;  6000000; 12000;CDM, CM;SPAL; 2353
O. Hiljemark;  6500000; 15000;CM, CDM;Genoa; 2354
D. Foulquier;  6500000; 49000;RM, RB;Watford; 2355
F. Hübner;  5500000; 31000;CB;1. FC Union Berlin; 2356
S. Bahoken;  6500000; 22000;ST;Angers SCO; 2357
T. Delaine;  5500000; 16000;LB;FC Metz; 2358
Jairo;  6500000; 13000;LM, RM;Hamburger SV; 2359
A. Ciciretti;  6500000; 44000;CAM, RW;Napoli; 2360
J. Ferri;  6500000; 27000;CM;Montpellier HSC; 2361
J. Damm;  6500000; 53000;RM;Tigres U.A.N.L.; 2362
E. Durm;  5500000; 26000;LB, RB, RM;Eintracht Frankfurt; 2363
J. Ramírez;  6500000; 20000;LW, CM, CAM;San Lorenzo de Almagro; 2364
F. Zuqui;  6500000; 13000;CM, RM;Club Atlético Colón; 2365
C. Lema;  5500000; 16000;CB;Newell's Old Boys; 2366
Álvaro García;  6500000;  8000;LM, RM, CAM;Rayo Vallecano; 2367
Carlos Mané;  6500000; 10000;RW, LW;Rio Ave FC; 2368
S. Adamyan;  6500000; 28000;CAM, ST;TSG 1899 Hoffenheim; 2369
T. Hlatshwayo;        0;     0;CB, RB;South Africa; 2370
A. Romero;  6500000; 20000;ST, CAM, LM;San Lorenzo de Almagro; 2371
Z. Ferhat;  6500000; 20000;RM;Nîmes Olympique; 2372
Munir;  4400000;  7000;GK;Málaga CF; 2373
H. Martín;  6500000; 46000;ST, RW;Club América; 2374
T. Goiginger;  6500000; 12000;RW, RM;LASK Linz; 2375
Fábio Martins;  6500000; 11000;LM;Famalicão; 2376
G. Ferrari;  5500000; 37000;CB;Sassuolo; 2377
M. Trauco;  5500000; 24000;LB, LM;AS Saint-Étienne; 2378
J. Zmrhal;  6500000; 13000;LM, RM;Brescia; 2379
G. Blanco Leschuk;  6500000;  1000;ST;Shakhtar Donetsk; 2380
Felipe;  2100000; 12000;CB;SPAL; 2381
Tarantini;  2400000;  7000;CM, CDM;Rio Ave FC; 2382
R. Nuzzolo;  2600000;  7000;ST;Neuchâtel Xamax; 2383
Ricardo Costa;  1100000;  4000;CB;Boavista FC; 2384
L. Butelle;   950000; 10000;GK;Angers SCO; 2385
Y. Pelé;   950000; 14000;GK;Olympique de Marseille; 2386
M. Rodríguez;  1900000; 13000;LM, CAM, ST;Newell's Old Boys; 2387
D. Benaglio;  1500000; 15000;GK;AS Monaco; 2388
R. Hubník;  1700000;  1000;CB;Viktoria Plzeň; 2389
F. Belluschi;  2500000; 14000;CAM, CM, CF;San Lorenzo de Almagro; 2390
Dani Giménez;  1500000;  4000;GK;Deportivo de La Coruña; 2391
C. Maggio;  1000000;  3000;RB;Benevento; 2392
F. Magnanelli;  2200000; 37000;CDM;Sassuolo; 2393
R. Salin;  2500000; 25000;GK;Stade Rennais FC; 2394
S. Davis;  2700000; 43000;CM, CDM, CAM;Rangers FC; 2395
A. Lennon;  4400000; 30000;RM, LM;Burnley; 2396
A. Talavera;   950000; 10000;GK;Deportivo Toluca; 2397
I. Afellay;  3400000; 15000;CAM, CM;PSV; 2398
O. Peralta;  2600000; 26000;ST;Guadalajara; 2399
W. Janssen;  3600000; 15000;CB;FC Utrecht; 2400
G. İnler;  1800000; 20000;CDM, CM;Medipol Başakşehir FK; 2401
Jurado;  3400000; 10000;CAM, RM, LM;Cádiz CF; 2402
D. Padelli;  3000000; 34000;GK;Inter; 2403
B. Sharp;  3500000; 32000;ST;Sheffield United; 2404
D. Limberský;  1600000;  1000;LB, RB, CB;Viktoria Plzeň; 2405
C. Davies;  2100000; 23000;CB;Derby County; 2406
S. Larsson;  2700000; 10000;CM, CDM;AIK; 2407
S. M'Bia;  2700000; 10000;CDM, CB;Wuhan Zall; 2408
R. Vlaar;  2100000;  9000;CB;AZ Alkmaar; 2409
S. Sinclair;  5500000; 43000;LM;Celtic; 2410
S. Long;  4500000; 46000;ST;Southampton; 2411
A. Ulmer;  2500000; 28000;LB;FC Red Bull Salzburg; 2412
F. Bastians;  4200000; 13000;CB, LB;Tianjin TEDA FC; 2413
P. Aguilar;  2500000; 39000;RB;Club América; 2414
P. Mouche;  4900000;  8000;LM, LW, ST;Colo-Colo; 2415
M. Sow;  3500000; 15000;ST, LM;Gazişehir Gaziantep F.K.; 2416
P. Hetemaj;  4300000;  5000;CM;Chievo Verona; 2417
Crespo;  3600000;  1000;CB, RB, LB;PAOK; 2418
K. Westwood;  2500000; 19000;GK;Sheffield Wednesday; 2419
O. Trejo;  4800000;  8000;CM, CAM, LM;Rayo Vallecano; 2420
L. Cigarini;  3300000; 27000;CM, CDM;Cagliari; 2421
L. Antonelli;  3500000;  5000;LB;Empoli; 2422
Joselu;  5500000; 23000;ST;Deportivo Alavés; 2423
M. Andújar;  1500000;  7000;GK;Estudiantes de La Plata; 2424
Baiano;  3500000; 12000;RB;Alanyaspor; 2425
K. Kamara;  3000000;  9000;ST;Colorado Rapids; 2426
M. Erdinç;  4500000; 33000;ST;Medipol Başakşehir FK; 2427
S. Missiroli;  3300000; 13000;CM, CDM;SPAL; 2428
F. González;  4500000; 17000;ST;Estudiantes de La Plata; 2429
Bojan;  5500000;  8000;CAM, ST, LW;Montreal Impact; 2430
Nuno Coelho;  4200000;  7000;CB, CDM;Os Belenenses; 2431
