ls;st;rs;lw;lf;cf;rf;rw;lam;cam;ram;lm;lcm;cm;rcm;rm;lwb;ldm;cdm;rdm;rwb;lb;lcb;cb;rcb;rb;gk
61;61;61;62;63;63;63;62;65;65;65;63;69;69;69;63;64;68;68;68;64;63;65;65;65;63; 0
62;62;62;65;65;65;65;65;67;67;67;67;69;69;69;67;66;68;68;68;66;64;62;62;62;64; 0
65;65;65;69;68;68;68;69;68;68;68;68;63;63;63;68;58;55;55;55;58;57;50;50;50;57; 0
57;57;57;61;58;58;58;61;59;59;59;63;61;61;61;63;69;66;66;66;69;69;68;68;68;69; 0
57;57;57;63;60;60;60;63;61;61;61;65;62;62;62;65;68;66;66;66;68;68;66;66;66;68; 0
53;53;53;48;50;50;50;48;50;50;50;50;55;55;55;50;59;65;65;65;59;60;69;69;69;60; 0
61;61;61;66;65;65;65;66;68;68;68;67;70;70;70;67;61;62;62;62;61;56;51;51;51;56; 0
69;69;69;71;69;69;69;71;67;67;67;69;60;60;60;69;53;48;48;48;53;50;43;43;43;50; 0
62;62;62;64;63;63;63;64;64;64;64;66;68;68;68;66;69;69;69;69;69;69;67;67;67;69; 0
48;48;48;46;47;47;47;46;48;48;48;49;52;52;52;49;60;63;63;63;60;62;69;69;69;62; 0
63;63;63;68;67;67;67;68;69;69;69;68;65;65;65;68;56;53;53;53;56;53;43;43;43;53; 0
65;65;65;68;67;67;67;68;68;68;68;68;68;68;68;68;63;63;63;63;63;61;58;58;58;61; 0
69;69;69;67;68;68;68;67;66;66;66;67;59;59;59;67;48;44;44;44;48;45;37;37;37;45; 0
48;48;48;40;43;43;43;40;43;43;43;42;48;48;48;42;53;60;60;60;53;55;69;69;69;55; 0
55;55;55;52;53;53;53;52;52;52;52;53;54;54;54;53;61;63;63;63;61;63;68;68;68;63; 0
70;70;70;69;69;69;69;69;69;69;69;70;69;69;69;70;69;67;67;67;69;69;67;67;67;69; 0
65;65;65;69;67;67;67;69;67;67;67;69;61;61;61;69;55;50;50;50;55;51;43;43;43;51; 0
57;57;57;58;58;58;58;58;59;59;59;60;63;63;63;60;66;68;68;68;66;67;68;68;68;67; 0
63;63;63;64;64;64;64;64;65;65;65;65;67;67;67;65;67;69;69;69;67;66;67;67;67;66; 0
47;47;47;49;49;49;49;49;51;51;51;52;54;54;54;52;59;63;63;63;59;62;69;69;69;62; 0
61;61;61;66;64;64;64;66;64;64;64;67;64;64;64;67;70;65;65;65;70;69;65;65;65;69; 0
62;62;62;67;66;66;66;67;67;67;67;68;66;66;66;68;65;61;61;61;65;63;54;54;54;63; 0
58;58;58;59;60;60;60;59;62;62;62;62;66;66;66;62;66;69;69;69;66;66;67;67;67;66; 0
59;59;59;52;56;56;56;52;56;56;56;54;62;62;62;54;62;69;69;69;62;63;71;71;71;63; 0
68;68;68;67;67;67;67;67;65;65;65;68;64;64;64;68;67;64;64;64;67;66;63;63;63;66; 0
65;65;65;66;66;66;66;66;65;65;65;67;66;66;66;67;69;67;67;67;69;68;66;66;66;68; 0
65;65;65;69;68;68;68;69;69;69;69;69;66;66;66;69;61;59;59;59;61;59;53;53;53;59; 0
63;63;63;65;64;64;64;65;62;62;62;66;62;62;62;66;69;65;65;65;69;69;67;67;67;69; 0
62;62;62;62;63;63;63;62;65;65;65;63;68;68;68;63;64;69;69;69;64;63;66;66;66;63; 0
52;52;52;47;48;48;48;47;47;47;47;47;50;50;50;47;60;61;61;61;60;63;69;69;69;63; 0
61;61;61;57;60;60;60;57;60;60;60;59;63;63;63;59;64;68;68;68;64;65;71;71;71;65; 0
67;67;67;69;68;68;68;69;68;68;68;70;69;69;69;70;70;68;68;68;70;69;65;65;65;69; 0
57;57;57;50;53;53;53;50;52;52;52;51;56;56;56;51;58;64;64;64;58;58;69;69;69;58; 0
41;41;41;36;37;37;37;36;37;37;37;40;44;44;44;40;54;59;59;59;54;58;68;68;68;58; 0
 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;70
63;63;63;63;64;64;64;63;63;63;63;64;65;65;65;64;68;69;69;69;68;68;69;69;69;68; 0
48;48;48;45;47;47;47;45;50;50;50;47;56;56;56;47;56;64;64;64;56;58;68;68;68;58; 0
65;65;65;68;68;68;68;68;69;69;69;69;65;65;65;69;57;56;56;56;57;54;49;49;49;54; 0
67;67;67;69;67;67;67;69;67;67;67;68;60;60;60;68;54;50;50;50;54;51;46;46;46;51; 0
69;69;69;70;69;69;69;70;68;68;68;68;60;60;60;68;54;49;49;49;54;52;45;45;45;52; 0
57;57;57;67;63;63;63;67;64;64;64;68;64;64;64;68;70;65;65;65;70;69;61;61;61;69; 0
55;55;55;45;49;49;49;45;47;47;47;46;52;52;52;46;54;62;62;62;54;57;69;69;69;57; 0
61;61;61;60;60;60;60;60;60;60;60;62;63;63;63;62;68;69;69;69;68;68;70;70;70;68; 0
64;64;64;65;65;65;65;65;65;65;65;67;66;66;66;67;69;68;68;68;69;69;68;68;68;69; 0
64;64;64;70;68;68;68;70;67;67;67;69;58;58;58;69;53;45;45;45;53;49;38;38;38;49; 0
68;68;68;67;68;68;68;67;67;67;67;66;62;62;62;66;48;47;47;47;48;45;40;40;40;45; 0
63;63;63;69;67;67;67;69;67;67;67;69;60;60;60;69;56;49;49;49;56;53;43;43;43;53; 0
68;68;68;64;66;66;66;64;64;64;64;62;56;56;56;62;48;45;45;45;48;46;45;45;45;46; 0
 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;70
51;51;51;51;49;49;49;51;49;49;49;54;54;54;54;54;65;64;64;64;65;66;69;69;69;66; 0
51;51;51;52;50;50;50;52;51;51;51;54;54;54;54;54;63;63;63;63;63;64;68;68;68;64; 0
64;64;64;66;67;67;67;66;68;68;68;67;70;70;70;67;67;69;69;69;67;66;63;63;63;66; 0
59;59;59;63;62;62;62;63;64;64;64;64;66;66;66;64;67;69;69;69;67;67;68;68;68;67; 0
70;70;70;70;71;71;71;70;70;70;70;69;67;67;67;69;63;62;62;62;63;62;61;61;61;62; 0
66;66;66;66;67;67;67;66;67;67;67;67;69;69;69;67;68;70;70;70;68;67;68;68;68;67; 0
45;45;45;40;42;42;42;40;42;42;42;42;47;47;47;42;54;59;59;59;54;57;68;68;68;57; 0
69;69;69;66;67;67;67;66;66;66;66;65;62;62;62;65;53;53;53;53;53;51;50;50;50;51; 0
68;68;68;67;67;67;67;67;66;66;66;68;66;66;66;68;69;68;68;68;69;69;69;69;69;69; 0
57;57;57;56;54;54;54;56;53;53;53;57;56;56;56;57;67;65;65;65;67;68;70;70;70;68; 0
68;68;68;67;67;67;67;67;66;66;66;66;61;61;61;66;52;50;50;50;52;50;47;47;47;50; 0
59;59;59;63;63;63;63;63;65;65;65;65;67;67;67;65;68;68;68;68;68;67;66;66;66;67; 0
58;58;58;63;60;60;60;63;62;62;62;65;63;63;63;65;69;67;67;67;69;69;66;66;66;69; 0
68;68;68;60;65;65;65;60;61;61;61;59;53;53;53;59;43;44;44;44;43;41;44;44;44;41; 0
62;62;62;68;67;67;67;68;68;68;68;68;66;66;66;68;60;58;58;58;60;58;50;50;50;58; 0
68;68;68;69;69;69;69;69;69;69;69;69;66;66;66;69;58;56;56;56;58;55;49;49;49;55; 0
65;65;65;65;64;64;64;65;63;63;63;65;63;63;63;65;69;67;67;67;69;69;69;69;69;69; 0
69;69;69;64;66;66;66;64;64;64;64;63;58;58;58;63;48;48;48;48;48;46;47;47;47;46; 0
60;60;60;64;64;64;64;64;67;67;67;66;68;68;68;66;68;70;70;70;68;68;67;67;67;68; 0
64;64;64;70;68;68;68;70;69;69;69;69;61;61;61;69;50;44;44;44;50;46;34;34;34;46; 0
69;69;69;70;70;70;70;70;69;69;69;69;62;62;62;69;51;46;46;46;51;47;39;39;39;47; 0
67;67;67;68;68;68;68;68;68;68;68;68;62;62;62;68;51;48;48;48;51;48;41;41;41;48; 0
66;66;66;67;67;67;67;67;68;68;68;68;69;69;69;68;67;68;68;68;67;67;67;67;67;67; 0
69;69;69;69;69;69;69;69;68;68;68;69;63;63;63;69;54;52;52;52;54;50;44;44;44;50; 0
48;48;48;44;45;45;45;44;45;45;45;45;49;49;49;45;58;61;61;61;58;61;69;69;69;61; 0
45;45;45;43;43;43;43;43;43;43;43;46;49;49;49;46;58;61;61;61;58;60;68;68;68;60; 0
70;70;70;68;69;69;69;68;68;68;68;68;66;66;66;68;58;59;59;59;58;56;57;57;57;56; 0
68;68;68;64;66;66;66;64;63;63;63;62;54;54;54;62;45;41;41;41;45;43;39;39;39;43; 0
60;60;60;63;64;64;64;63;67;67;67;65;69;69;69;65;66;69;69;69;66;65;64;64;64;65; 0
65;65;65;67;67;67;67;67;68;68;68;67;69;69;69;67;67;68;68;68;67;67;67;67;67;67; 0
58;58;58;56;57;57;57;56;58;58;58;58;63;63;63;58;64;69;69;69;64;65;69;69;69;65; 0
 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;70
54;54;54;63;59;59;59;63;62;62;62;66;64;64;64;66;70;67;67;67;70;69;65;65;65;69; 0
65;65;65;69;68;68;68;69;69;69;69;69;68;68;68;69;66;66;66;66;66;65;62;62;62;65; 0
69;69;69;69;69;69;69;69;68;68;68;69;63;63;63;69;55;53;53;53;55;52;48;48;48;52; 0
67;67;67;69;68;68;68;69;68;68;68;69;68;68;68;69;69;68;68;68;69;69;66;66;66;69; 0
68;68;68;60;65;65;65;60;62;62;62;60;58;58;58;60;43;48;48;48;43;41;44;44;44;41; 0
66;66;66;68;67;67;67;68;69;69;69;69;68;68;68;69;63;62;62;62;63;61;58;58;58;61; 0
45;45;45;46;47;47;47;46;52;52;52;50;58;58;58;50;59;66;66;66;59;61;68;68;68;61; 0
66;66;66;68;68;68;68;68;69;69;69;69;69;69;69;69;67;66;66;66;67;66;62;62;62;66; 0
44;44;44;40;41;41;41;40;41;41;41;43;48;48;48;43;57;62;62;62;57;59;69;69;69;59; 0
63;63;63;68;66;66;66;68;66;66;66;68;59;59;59;68;53;47;47;47;53;50;39;39;39;50; 0
48;48;48;45;47;47;47;45;48;48;48;48;55;55;55;48;59;65;65;65;59;61;69;69;69;61; 0
44;44;44;41;41;41;41;41;40;40;40;43;44;44;44;43;58;58;58;58;58;61;68;68;68;61; 0
 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;70
61;61;61;62;63;63;63;62;65;65;65;63;68;68;68;63;66;69;69;69;66;66;68;68;68;66; 0
61;61;61;58;61;61;61;58;62;62;62;60;66;66;66;60;62;68;68;68;62;62;68;68;68;62; 0
60;60;60;60;59;59;59;60;58;58;58;62;61;61;61;62;68;65;65;65;68;69;67;67;67;69; 0
57;57;57;63;60;60;60;63;61;61;61;65;61;61;61;65;69;64;64;64;69;68;63;63;63;68; 0
56;56;56;61;58;58;58;61;61;61;61;64;64;64;64;64;69;68;68;68;69;69;68;68;68;69; 0
59;59;59;64;61;61;61;64;63;63;63;65;63;63;63;65;68;65;65;65;68;69;67;67;67;69; 0
58;58;58;57;58;58;58;57;59;59;59;58;61;61;61;58;63;66;66;66;63;65;69;69;69;65; 0
51;51;51;45;47;47;47;45;46;46;46;46;52;52;52;46;58;63;63;63;58;61;69;69;69;61; 0
42;42;42;41;40;40;40;41;42;42;42;44;49;49;49;44;61;63;63;63;61;64;68;68;68;64; 0
53;53;53;49;49;49;49;49;50;50;50;50;54;54;54;50;60;64;64;64;60;63;69;69;69;63; 0
61;61;61;61;62;62;62;61;64;64;64;64;67;67;67;64;67;69;69;69;67;67;69;69;69;67; 0
61;61;61;66;66;66;66;66;68;68;68;66;66;66;66;66;54;54;54;54;54;51;46;46;46;51; 0
65;65;65;68;68;68;68;68;68;68;68;68;64;64;64;68;56;53;53;53;56;54;49;49;49;54; 0
64;64;64;70;67;67;67;70;68;68;68;70;62;62;62;70;55;50;50;50;55;51;42;42;42;51; 0
66;66;66;70;69;69;69;70;71;71;71;69;66;66;66;69;55;53;53;53;55;52;46;46;46;52; 0
66;66;66;69;68;68;68;69;68;68;68;68;62;62;62;68;51;47;47;47;51;48;40;40;40;48; 0
68;68;68;66;67;67;67;66;64;64;64;63;58;58;58;63;49;45;45;45;49;47;44;44;44;47; 0
69;69;69;68;69;69;69;68;67;67;67;67;60;60;60;67;51;48;48;48;51;48;43;43;43;48; 0
59;59;59;58;57;57;57;58;56;56;56;59;59;59;59;59;68;66;66;66;68;68;70;70;70;68; 0
66;66;66;68;68;68;68;68;69;69;69;68;67;67;67;68;59;57;57;57;59;56;49;49;49;56; 0
62;62;62;64;64;64;64;64;66;66;66;65;69;69;69;65;69;72;72;72;69;68;70;70;70;68; 0
56;56;56;56;55;55;55;56;55;55;55;59;58;58;58;59;68;66;66;66;68;69;69;69;69;69; 0
 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;70
63;63;63;66;67;67;67;66;68;68;68;67;67;67;67;67;56;56;56;56;56;53;47;47;47;53; 0
58;58;58;61;60;60;60;61;62;62;62;62;63;63;63;62;67;69;69;69;67;68;70;70;70;68; 0
58;58;58;62;60;60;60;62;60;60;60;64;61;61;61;64;69;65;65;65;69;69;65;65;65;69; 0
57;57;57;54;56;56;56;54;57;57;57;55;62;62;62;55;64;69;69;69;64;65;70;70;70;65; 0
66;66;66;66;66;66;66;66;66;66;66;67;69;69;69;67;70;71;71;71;70;70;69;69;69;70; 0
48;48;48;48;46;46;46;48;47;47;47;51;51;51;51;51;63;62;62;62;63;64;68;68;68;64; 0
57;57;57;63;61;61;61;63;62;62;62;65;64;64;64;65;69;67;67;67;69;68;66;66;66;68; 0
52;52;52;60;56;56;56;60;58;58;58;62;59;59;59;62;69;64;64;64;69;68;63;63;63;68; 0
62;62;62;62;63;63;63;62;64;64;64;64;67;67;67;64;66;68;68;68;66;67;67;67;67;67; 0
66;66;66;66;68;68;68;66;69;69;69;67;67;67;67;67;56;59;59;59;56;54;53;53;53;54; 0
68;68;68;63;67;67;67;63;64;64;64;61;60;60;60;61;46;49;49;49;46;44;45;45;45;44; 0
68;68;68;64;66;66;66;64;62;62;62;61;54;54;54;61;49;47;47;47;49;49;49;49;49;49; 0
68;68;68;63;64;64;64;63;60;60;60;61;54;54;54;61;50;47;47;47;50;48;49;49;49;48; 0
54;54;54;56;54;54;54;56;54;54;54;58;56;56;56;58;66;64;64;64;66;67;68;68;68;67; 0
52;52;52;52;51;51;51;52;51;51;51;55;56;56;56;55;65;65;65;65;65;67;68;68;68;67; 0
62;62;62;69;67;67;67;69;68;68;68;69;63;63;63;69;52;49;49;49;52;48;38;38;38;48; 0
58;58;58;61;61;61;61;61;65;65;65;63;68;68;68;63;67;70;70;70;67;67;67;67;67;67; 0
68;68;68;63;65;65;65;63;61;61;61;61;52;52;52;61;45;43;43;43;45;44;43;43;43;44; 0
45;45;45;38;42;42;42;38;44;44;44;42;53;53;53;42;55;64;64;64;55;58;68;68;68;58; 0
62;62;62;61;63;63;63;61;64;64;64;63;67;67;67;63;65;69;69;69;65;65;67;67;67;65; 0
 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;70
63;63;63;68;66;66;66;68;67;67;67;68;62;62;62;68;55;51;51;51;55;52;43;43;43;52; 0
65;65;65;69;68;68;68;69;68;68;68;69;62;62;62;69;51;48;48;48;51;47;39;39;39;47; 0
63;63;63;67;66;66;66;67;68;68;68;68;68;68;68;68;65;66;66;66;65;64;62;62;62;64; 0
65;65;65;68;67;67;67;68;68;68;68;68;68;68;68;68;64;61;61;61;64;62;54;54;54;62; 0
62;62;62;68;65;65;65;68;65;65;65;67;58;58;58;67;55;48;48;48;55;52;42;42;42;52; 0
60;60;60;66;65;65;65;66;67;67;67;67;66;66;66;67;62;61;61;61;62;60;55;55;55;60; 0
53;53;53;59;56;56;56;59;58;58;58;62;61;61;61;62;68;67;67;67;68;68;68;68;68;68; 0
60;60;60;64;64;64;64;64;67;67;67;65;68;68;68;65;63;65;65;65;63;62;59;59;59;62; 0
68;68;68;65;67;67;67;65;63;63;63;62;54;54;54;62;46;43;43;43;46;44;42;42;42;44; 0
59;59;59;65;64;64;64;65;67;67;67;65;67;67;67;65;63;66;66;66;63;62;60;60;60;62; 0
63;63;63;67;65;65;65;67;65;65;65;67;60;60;60;67;57;54;54;54;57;55;49;49;49;55; 0
63;63;63;65;66;66;66;65;68;68;68;66;67;67;67;66;60;61;61;61;60;59;55;55;55;59; 0
61;61;61;66;66;66;66;66;67;67;67;66;64;64;64;66;57;56;56;56;57;54;47;47;47;54; 0
68;68;68;68;67;67;67;68;66;66;66;66;58;58;58;66;49;45;45;45;49;47;42;42;42;47; 0
66;66;66;67;66;66;66;67;68;68;68;67;67;67;67;67;63;64;64;64;63;63;63;63;63;63; 0
58;58;58;66;63;63;63;66;64;64;64;67;63;63;63;67;68;65;65;65;68;67;64;64;64;67; 0
61;61;61;68;67;67;67;68;69;69;69;67;67;67;67;67;60;60;60;60;60;58;52;52;52;58; 0
68;68;68;63;65;65;65;63;62;62;62;61;54;54;54;61;46;43;43;43;46;44;42;42;42;44; 0
60;60;60;65;63;63;63;65;64;64;64;67;64;64;64;67;68;65;65;65;68;68;64;64;64;68; 0
58;58;58;68;65;65;65;68;67;67;67;67;60;60;60;67;52;47;47;47;52;48;36;36;36;48; 0
63;63;63;65;66;66;66;65;67;67;67;65;68;68;68;65;65;67;67;67;65;64;64;64;64;64; 0
54;54;54;62;58;58;58;62;59;59;59;63;58;58;58;63;68;61;61;61;68;68;62;62;62;68; 0
58;58;58;61;60;60;60;61;61;61;61;63;63;63;63;63;68;66;66;66;68;68;67;67;67;68; 0
63;63;63;69;67;67;67;69;68;68;68;69;62;62;62;69;57;52;52;52;57;55;46;46;46;55; 0
68;68;68;65;65;65;65;65;62;62;62;64;54;54;54;64;48;44;44;44;48;46;42;42;42;46; 0
67;67;67;63;65;65;65;63;62;62;62;61;55;55;55;61;44;42;42;42;44;41;40;40;40;41; 0
61;61;61;67;67;67;67;67;67;67;67;65;60;60;60;65;52;50;50;50;52;50;45;45;45;50; 0
55;55;55;64;60;60;60;64;61;61;61;64;60;60;60;64;68;62;62;62;68;67;63;63;63;67; 0
58;58;58;61;60;60;60;61;59;59;59;62;61;61;61;62;67;66;66;66;67;67;67;67;67;67; 0
68;68;68;66;66;66;66;66;63;63;63;63;53;53;53;63;43;38;38;38;43;40;34;34;34;40; 0
67;67;67;65;66;66;66;65;64;64;64;63;56;56;56;63;44;41;41;41;44;42;37;37;37;42; 0
63;63;63;68;67;67;67;68;68;68;68;68;68;68;68;68;67;66;66;66;67;67;63;63;63;67; 0
64;64;64;68;68;68;68;68;69;69;69;69;68;68;68;69;66;67;67;67;66;65;63;63;63;65; 0
67;67;67;66;67;67;67;66;66;66;66;65;60;60;60;65;52;50;50;50;52;50;47;47;47;50; 0
68;68;68;67;67;67;67;67;64;64;64;65;56;56;56;65;51;46;46;46;51;48;43;43;43;48; 0
59;59;59;66;64;64;64;66;64;64;64;67;64;64;64;67;68;64;64;64;68;67;63;63;63;67; 0
 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;69
44;44;44;46;45;45;45;46;47;47;47;49;52;52;52;49;60;63;63;63;60;62;68;68;68;62; 0
62;62;62;66;64;64;64;66;65;65;65;67;65;65;65;67;70;68;68;68;70;70;68;68;68;70; 0
63;63;63;64;64;64;64;64;64;64;64;64;66;66;66;64;66;67;67;67;66;66;67;67;67;66; 0
53;53;53;54;53;53;53;54;54;54;54;57;58;58;58;57;66;66;66;66;66;67;69;69;69;67; 0
59;59;59;58;60;60;60;58;61;61;61;61;65;65;65;61;65;68;68;68;65;64;66;66;66;64; 0
60;60;60;67;65;65;65;67;67;67;67;67;66;66;66;67;60;60;60;60;60;58;53;53;53;58; 0
60;60;60;66;65;65;65;66;67;67;67;68;67;67;67;68;67;66;66;66;67;65;61;61;61;65; 0
58;58;58;62;61;61;61;62;63;63;63;65;66;66;66;65;68;68;68;68;68;68;68;68;68;68; 0
64;64;64;67;67;67;67;67;68;68;68;68;67;67;67;68;63;64;64;64;63;61;59;59;59;61; 0
67;67;67;69;69;69;69;69;70;70;70;70;68;68;68;70;64;62;62;62;64;63;58;58;58;63; 0
62;62;62;67;66;66;66;67;67;67;67;68;67;67;67;68;63;63;63;63;63;61;57;57;57;61; 0
57;57;57;63;60;60;60;63;61;61;61;64;62;62;62;64;67;64;64;64;67;67;64;64;64;67; 0
62;62;62;68;67;67;67;68;69;69;69;69;67;67;67;69;63;61;61;61;63;60;54;54;54;60; 0
62;62;62;67;66;66;66;67;68;68;68;67;63;63;63;67;55;53;53;53;55;52;46;46;46;52; 0
46;46;46;44;44;44;44;44;45;45;45;47;52;52;52;47;60;63;63;63;60;62;68;68;68;62; 0
63;63;63;67;67;67;67;67;69;69;69;68;67;67;67;68;61;62;62;62;61;59;57;57;57;59; 0
47;47;47;41;43;43;43;41;43;43;43;44;48;48;48;44;57;61;61;61;57;60;68;68;68;60; 0
57;57;57;59;58;58;58;59;60;60;60;61;62;62;62;61;65;67;67;67;65;66;66;66;66;66; 0
57;57;57;65;63;63;63;65;65;65;65;68;66;66;66;68;70;67;67;67;70;69;66;66;66;69; 0
48;48;48;48;49;49;49;48;51;51;51;52;58;58;58;52;62;68;68;68;62;64;68;68;68;64; 0
41;41;41;38;40;40;40;38;42;42;42;41;49;49;49;41;56;63;63;63;56;59;68;68;68;59; 0
65;65;65;68;67;67;67;68;68;68;68;68;61;61;61;68;55;50;50;50;55;52;46;46;46;52; 0
55;55;55;65;63;63;63;65;67;67;67;66;68;68;68;66;62;64;64;64;62;60;55;55;55;60; 0
64;64;64;67;66;66;66;67;67;67;67;68;67;67;67;68;65;65;65;65;65;64;61;61;61;64; 0
52;52;52;59;57;57;57;59;60;60;60;63;63;63;63;63;67;66;66;66;67;67;65;65;65;67; 0
65;65;65;68;68;68;68;68;67;67;67;67;60;60;60;67;52;47;47;47;52;48;40;40;40;48; 0
 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;69
58;58;58;61;61;61;61;61;63;63;63;63;65;65;65;63;65;68;68;68;65;66;66;66;66;66; 0
58;58;58;67;64;64;64;67;66;66;66;67;61;61;61;67;55;49;49;49;55;51;38;38;38;51; 0
54;54;54;62;58;58;58;62;61;61;61;65;63;63;63;65;69;66;66;66;69;68;65;65;65;68; 0
57;57;57;63;61;61;61;63;62;62;62;65;63;63;63;65;67;65;65;65;67;67;64;64;64;67; 0
64;64;64;66;66;66;66;66;67;67;67;66;67;67;67;66;66;67;67;67;66;66;66;66;66;66; 0
60;60;60;64;63;63;63;64;64;64;64;65;64;64;64;65;67;66;66;66;67;68;66;66;66;68; 0
 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;69
67;67;67;69;68;68;68;69;67;67;67;68;60;60;60;68;53;50;50;50;53;50;46;46;46;50; 0
63;63;63;67;66;66;66;67;66;66;66;67;64;64;64;67;62;58;58;58;62;60;53;53;53;60; 0
54;54;54;53;54;54;54;53;54;54;54;55;57;57;57;55;60;64;64;64;60;62;68;68;68;62; 0
49;49;49;49;50;50;50;49;52;52;52;52;56;56;56;52;61;65;65;65;61;63;67;67;67;63; 0
54;54;54;60;57;57;57;60;56;56;56;60;54;54;54;60;67;60;60;60;67;67;65;65;65;67; 0
67;67;67;59;62;62;62;59;58;58;58;56;52;52;52;56;47;46;46;46;47;46;49;49;49;46; 0
67;67;67;66;66;66;66;66;63;63;63;65;57;57;57;65;53;48;48;48;53;50;46;46;46;50; 0
60;60;60;62;62;62;62;62;64;64;64;64;67;67;67;64;69;71;71;71;69;70;70;70;70;70; 0
62;62;62;67;66;66;66;67;68;68;68;68;62;62;62;68;52;49;49;49;52;50;41;41;41;50; 0
60;60;60;62;63;63;63;62;65;65;65;64;67;67;67;64;65;68;68;68;65;64;65;65;65;64; 0
63;63;63;66;65;65;65;66;67;67;67;67;68;68;68;67;68;67;67;67;68;67;65;65;65;67; 0
59;59;59;68;66;66;66;68;67;67;67;67;61;61;61;67;52;49;49;49;52;49;40;40;40;49; 0
65;65;65;69;68;68;68;69;68;68;68;67;60;60;60;67;49;44;44;44;49;46;36;36;36;46; 0
46;46;46;44;45;45;45;44;46;46;46;47;52;52;52;47;59;64;64;64;59;62;68;68;68;62; 0
63;63;63;68;66;66;66;68;65;65;65;67;58;58;58;67;55;49;49;49;55;52;43;43;43;52; 0
63;63;63;66;66;66;66;66;67;67;67;66;65;65;65;66;59;57;57;57;59;57;53;53;53;57; 0
59;59;59;65;64;64;64;65;67;67;67;65;67;67;67;65;60;62;62;62;60;58;57;57;57;58; 0
60;60;60;62;63;63;63;62;64;64;64;64;66;66;66;64;67;67;67;67;67;66;65;65;65;66; 0
65;65;65;68;67;67;67;68;67;67;67;68;62;62;62;68;55;52;52;52;55;53;46;46;46;53; 0
 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;69
53;53;53;60;57;57;57;60;60;60;60;63;62;62;62;63;67;66;66;66;67;68;67;67;67;68; 0
47;47;47;45;46;46;46;45;47;47;47;48;53;53;53;48;59;63;63;63;59;62;68;68;68;62; 0
56;56;56;61;59;59;59;61;60;60;60;63;61;61;61;63;68;65;65;65;68;67;66;66;66;67; 0
62;62;62;69;66;66;66;69;65;65;65;67;58;58;58;67;54;45;45;45;54;50;39;39;39;50; 0
54;54;54;53;54;54;54;53;56;56;56;55;60;60;60;55;62;67;67;67;62;63;69;69;69;63; 0
55;55;55;59;56;56;56;59;56;56;56;61;59;59;59;61;68;65;65;65;68;67;65;65;65;67; 0
 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;69
68;68;68;69;68;68;68;69;67;67;67;68;61;61;61;68;57;53;53;53;57;55;50;50;50;55; 0
65;65;65;67;67;67;67;67;67;67;67;67;65;65;65;67;61;60;60;60;61;59;56;56;56;59; 0
58;58;58;63;62;62;62;63;65;65;65;66;67;67;67;66;66;67;67;67;66;65;63;63;63;65; 0
57;57;57;60;60;60;60;60;62;62;62;62;66;66;66;62;65;68;68;68;65;65;66;66;66;65; 0
 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;69
62;62;62;67;67;67;67;67;68;68;68;67;67;67;67;67;64;63;63;63;64;62;59;59;59;62; 0
64;64;64;66;66;66;66;66;66;66;66;66;67;67;67;66;66;67;67;67;66;65;66;66;66;65; 0
63;63;63;67;67;67;67;67;68;68;68;69;67;67;67;69;65;65;65;65;65;64;61;61;61;64; 0
68;68;68;67;67;67;67;67;65;65;65;66;58;58;58;66;50;46;46;46;50;47;43;43;43;47; 0
66;66;66;69;68;68;68;69;67;67;67;68;60;60;60;68;51;46;46;46;51;48;40;40;40;48; 0
66;66;66;69;68;68;68;69;68;68;68;68;62;62;62;68;52;49;49;49;52;49;43;43;43;49; 0
